timestamp,outcome,token_id,price,datetime
1777726809,Philadelphia 76ers,5644679982684846699855787022092402984369447277920326773883608030240292167917,0.0115,2026-05-02 13:00:09+00:00
1777726809,Toronto Raptors,111039354521750894925304771773687530394455073318948424656845140321925374032772,0.0045,2026-05-02 13:00:09+00:00
1777726810,Detroit Pistons,59742411602053785892348440048778056320272639465974092140970920277782290781360,0.032,2026-05-02 13:00:10+00:00
1777726810,Minnesota Timberwolves,5771676627182954113677164857547228277089396639521594262964034606220001939923,0.0105,2026-05-02 13:00:10+00:00
1777726810,Oklahoma City Thunder,49500299856831034491021962156746701298730459370557900271970866855042624695770,0.555,2026-05-02 13:00:10+00:00
1777730406,San Antonio Spurs,102227184035967850089766981958743064457339118173548431660886438726896222843254,0.1985,2026-05-02 14:00:06+00:00
1777730407,New York Knicks,20257190540739490630509657713144742134547949967093643458458133445357169845406,0.0525,2026-05-02 14:00:07+00:00
1777730408,Boston Celtics,98951343420969493497594761179562691809954416596888138302255086663562042936451,0.0925,2026-05-02 14:00:08+00:00
1777730408,Cleveland Cavaliers,21929863894047830651599085392978377118642353711084157807549430066031384497667,0.0275,2026-05-02 14:00:08+00:00
1777730408,Detroit Pistons,59742411602053785892348440048778056320272639465974092140970920277782290781360,0.0315,2026-05-02 14:00:08+00:00
1777730408,Los Angeles Lakers,86297520870744792204751483474339201341298076835836561764334428915355504860913,0.0275,2026-05-02 14:00:08+00:00
1777730408,Minnesota Timberwolves,5771676627182954113677164857547228277089396639521594262964034606220001939923,0.0115,2026-05-02 14:00:08+00:00
1777730408,Oklahoma City Thunder,49500299856831034491021962156746701298730459370557900271970866855042624695770,0.555,2026-05-02 14:00:08+00:00
1777730408,Orlando Magic,95140346952277551620015228752585531762813913098320669805735291271863965388665,0.0055,2026-05-02 14:00:08+00:00
1777730408,Philadelphia 76ers,5644679982684846699855787022092402984369447277920326773883608030240292167917,0.0135,2026-05-02 14:00:08+00:00
1777730408,Toronto Raptors,111039354521750894925304771773687530394455073318948424656845140321925374032772,0.0055,2026-05-02 14:00:08+00:00
1777734005,San Antonio Spurs,102227184035967850089766981958743064457339118173548431660886438726896222843254,0.199,2026-05-02 15:00:05+00:00
1777734008,New York Knicks,20257190540739490630509657713144742134547949967093643458458133445357169845406,0.0525,2026-05-02 15:00:08+00:00
1777734010,Boston Celtics,98951343420969493497594761179562691809954416596888138302255086663562042936451,0.0925,2026-05-02 15:00:10+00:00
1777734010,Cleveland Cavaliers,21929863894047830651599085392978377118642353711084157807549430066031384497667,0.0275,2026-05-02 15:00:10+00:00
1777734010,Los Angeles Lakers,86297520870744792204751483474339201341298076835836561764334428915355504860913,0.0275,2026-05-02 15:00:10+00:00
1777734010,Orlando Magic,95140346952277551620015228752585531762813913098320669805735291271863965388665,0.0065,2026-05-02 15:00:10+00:00
1777734010,Philadelphia 76ers,5644679982684846699855787022092402984369447277920326773883608030240292167917,0.0135,2026-05-02 15:00:10+00:00
1777734011,Toronto Raptors,111039354521750894925304771773687530394455073318948424656845140321925374032772,0.0065,2026-05-02 15:00:11+00:00
1777734012,Detroit Pistons,59742411602053785892348440048778056320272639465974092140970920277782290781360,0.0315,2026-05-02 15:00:12+00:00
1777734012,Minnesota Timberwolves,5771676627182954113677164857547228277089396639521594262964034606220001939923,0.0115,2026-05-02 15:00:12+00:00
1777734012,Oklahoma City Thunder,49500299856831034491021962156746701298730459370557900271970866855042624695770,0.555,2026-05-02 15:00:12+00:00
1777737605,San Antonio Spurs,102227184035967850089766981958743064457339118173548431660886438726896222843254,0.1985,2026-05-02 16:00:05+00:00
1777737606,New York Knicks,20257190540739490630509657713144742134547949967093643458458133445357169845406,0.0515,2026-05-02 16:00:06+00:00
1777737607,Boston Celtics,98951343420969493497594761179562691809954416596888138302255086663562042936451,0.0925,2026-05-02 16:00:07+00:00
1777737607,Cleveland Cavaliers,21929863894047830651599085392978377118642353711084157807549430066031384497667,0.0275,2026-05-02 16:00:07+00:00
1777737607,Los Angeles Lakers,86297520870744792204751483474339201341298076835836561764334428915355504860913,0.0275,2026-05-02 16:00:07+00:00
